"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","admin can upload marks and see success message @regression","firefox","2026-03-09","skipped","2026-03-09","Grade Report Module","specs\gradeReport.spec.ts","",""
"","0","should login successfully with valid credentials @smoke","Mobile Chrome","2026-03-09","skipped","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","227183","should navigate through all main sections @smoke @navigation","chromium","2026-03-09","failed","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","0","should logout successfully @smoke","Mobile Safari","2026-03-09","skipped","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","70103","should navigate through all main sections @regression","firefox","2026-03-09","failed","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","0","should navigate through all main sections @regression","Mobile Chrome","2026-03-09","skipped","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","6670","debug login POM @debug","Mobile Chrome","2026-03-09","passed","2026-03-09","","specs\debug_login.spec.ts","",""
"","0","should have remember me option @regression","Mobile Safari","2026-03-09","skipped","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","0","UI should show the user created by API @regression","firefox","2026-03-09","skipped","2026-03-09","User Management – API / UI integration","specs\userManagement.api.spec.ts","",""
"","2142","has title","chromium","2026-03-06","passed","2026-03-06","","example.spec.ts","",""
"","0","should be on a post-login URL @smoke","Mobile Chrome","2026-03-09","skipped","2026-03-09","Dashboard Module","specs\dashboard.spec.ts","",""
"","2770","get started link","chromium","2026-03-06","passed","2026-03-06","","example.spec.ts","",""
"","1","should show discussion link in navigation after login @smoke","chromium","2026-03-09","skipped","2026-03-09","Dashboard Module","specs\dashboard.spec.ts","",""
"","1","UI should show the user created by API @regression","Mobile Chrome","2026-03-09","skipped","2026-03-09","User Management – API / UI integration","specs\userManagement.api.spec.ts","",""
"","21025","should be able to logout","webkit","2026-03-06","passed","2026-03-06","Login Module","specs\login.spec.ts","",""
"","1","should navigate to all main sections after login @regression","firefox","2026-03-09","skipped","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","8831","debug login POM @debug","firefox","2026-03-09","passed","2026-03-09","","specs\debug_login.spec.ts","",""
"","23168","should be able to logout","chromium","2026-03-06","passed","2026-03-06","Login Module","specs\login.spec.ts","",""
"","30716","admin can upload marks and see success message","chromium","2026-03-06","broken","2026-03-06","Grade Report Module","specs\gradeReport.spec.ts","",""
"","0","should have remember me option @regression","Mobile Chrome","2026-03-09","skipped","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","185956","login and visit main sections","chromium","2026-03-09","passed","2026-03-09","ERP Navigation Smoke","login1.spec.ts","",""
"","69802","should navigate to Virtual Class @regression","chromium","2026-03-09","failed","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","5321","has title","webkit","2026-03-06","passed","2026-03-06","","example.spec.ts","",""
"","1","should navigate to Discussion @regression","Mobile Chrome","2026-03-09","skipped","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","0","should show discussion link in navigation after login @smoke","Mobile Safari","2026-03-09","skipped","2026-03-09","Dashboard Module","specs\dashboard.spec.ts","",""
"","68871","should navigate through all main sections @regression","chromium","2026-03-09","failed","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","0","should display login page @smoke","Mobile Chrome","2026-03-09","skipped","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","1","should logout successfully @smoke","firefox","2026-03-09","skipped","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","17612","should show welcome banner","webkit","2026-03-06","failed","2026-03-06","Dashboard Module","specs\dashboard.spec.ts","",""
"","0","admin can upload marks and see success message @regression","Mobile Chrome","2026-03-09","skipped","2026-03-09","Grade Report Module","specs\gradeReport.spec.ts","",""
"","65219","should login successfully and show main navigation @smoke","firefox","2026-03-09","failed","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","0","should display a page heading on the dashboard @regression","chromium","2026-03-09","skipped","2026-03-09","Dashboard Module","specs\dashboard.spec.ts","",""
"","71388","should navigate to Discussion @regression","chromium","2026-03-09","failed","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","16434","should show welcome banner","chromium","2026-03-06","failed","2026-03-06","Dashboard Module","specs\dashboard.spec.ts","",""
"","0","should logout successfully @smoke","Mobile Safari","2026-03-09","skipped","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","18437","should navigate to all ERP sections successfully","chromium","2026-03-07","passed","2026-03-07","Login All Pages Navigation","Login_all_pages.spec.ts","",""
"","79045","should navigate to all main sections after login @regression","chromium","2026-03-09","failed","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","0","should logout successfully @smoke","Mobile Chrome","2026-03-09","skipped","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","2818","should have remember me option @regression","chromium","2026-03-09","passed","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","0","should show discussion link in navigation after login @smoke","Mobile Chrome","2026-03-09","skipped","2026-03-09","Dashboard Module","specs\dashboard.spec.ts","",""
